depth,gamma
2748.0203,22.018
2748.187,23.6904
2748.3536,22.5521
2748.5203,19.9418
2748.687,18.5379
2748.8536,18.6207
2749.0203,18.2104
2749.187,21.2214
2749.3536,23.2917
2749.5203,24.8312
2749.687,22.059
2749.8536,22.2683
2750.0203,23.2208
2750.187,21.5555
2750.3536,22.0823
2750.5203,22.4491
2750.687,23.5707
2750.8536,22.9942
2751.0203,22.3669
2751.187,21.8154
2751.3536,20.9113
2751.5203,22.9157
2751.687,22.2834
2751.8536,23.086
2752.0203,20.0366
2752.187,17.8942
2752.3536,16.6003
2752.5203,16.2956
2752.687,20.091
2752.8536,22.0937
2753.0203,25.0365
2753.187,23.8058
2753.3536,23.225
2753.5203,22.489
2753.687,25.3607
2753.8536,25.9906
2754.0203,24.624
2754.187,23.3969
2754.3536,23.0533
2754.5203,22.9527
2754.687,19.2239
2754.8536,17.9337
2755.0203,17.1418
2755.187,17.0239
2755.3536,19.191
2755.5203,20.4453
2755.687,19.9384
2755.8536,18.9441
2756.0203,17.9419
2756.187,20.5967
2756.3536,19.753
2756.5203,20.0677
2756.687,22.5643
2756.8536,23.48
2757.0203,23.4556
2757.187,20.2772
2757.3536,18.4801
2757.5203,16.7954
2757.687,16.0405
2757.8536,14.9516
2758.0203,15.5197
2758.187,14.2991
2758.3536,16.7556
2758.5203,16.2844
2758.687,18.2876
2758.8536,15.9323
2759.0203,17.6814
2759.187,18.8569
2759.3536,18.7325
2759.5203,17.7448
2759.687,16.73
2759.8536,19.6373
2760.0203,20.8348
2760.187,21.1414
2760.3536,18.9447
2760.5203,17.487
2760.687,17.7174
2760.8536,16.7528
2761.0203,18.5928
2761.187,20.7654
2761.3536,22.1491
2761.5203,20.6415
2761.687,18.2305
2761.8536,17.6676
2762.0203,16.3775
2762.187,15.7477
2762.3536,17.1199
2762.5203,18.6803
2762.687,18.6285
2762.8536,18.4616
2763.0203,20.7231
2763.187,26.4076
2763.3536,28.8241
2763.5203,27.0338
2763.687,21.4974
2763.8536,22.0218
2764.0203,22.0562
2764.187,24.6123
2764.3536,19.6332
2764.5203,20.183
2764.687,19.8136
2764.8536,26.153
2765.0203,30.1365
2765.187,32.7604
2765.3536,28.4354
2765.5203,25.1552
2765.687,24.1746
2765.8536,25.4326
