depth,gamma
2918.0203,62.0007
2918.187,66.393
2918.3536,59.3901
2918.5203,60.5506
2918.687,57.0038
2918.8536,59.0526
2919.0203,61.3945
2919.187,59.5871
2919.3536,62.4745
2919.5203,63.0209
2919.687,66.3453
2919.8536,63.3683
2920.0203,64.2727

